exchange,symbol,ticker,name,isin,currency,source,asof_date
NSE,AMDIND,AMDIND.NS,AMD Industries Limited,INE005I01014,INR,NSE:EQUITY_L,2026-02-18
NSE,AMJLAND,AMJLAND.NS,Amj Land Holdings Limited,INE606A01024,INR,NSE:EQUITY_L,2026-02-18
NSE,AMNPLST,AMNPLST.NS,Amines & Plasticizers Limited,INE275D01022,INR,NSE:EQUITY_L,2026-02-18
NSE,AMRUTANJAN,AMRUTANJAN.NS,Amrutanjan Health Care Limited,INE098F01031,INR,NSE:EQUITY_L,2026-02-18
NSE,ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Limited,INE463V01026,INR,NSE:EQUITY_L,2026-02-18
NSE,ANANTRAJ,ANANTRAJ.NS,Anant Raj Limited,INE242C01024,INR,NSE:EQUITY_L,2026-02-18
NSE,ANDHRAPAP,ANDHRAPAP.NS,ANDHRA PAPER LIMITED,INE435A01051,INR,NSE:EQUITY_L,2026-02-18
NSE,ANDHRSUGAR,ANDHRSUGAR.NS,The Andhra Sugars Limited,INE715B01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ANGELONE,ANGELONE.NS,Angel One Limited,INE732I01013,INR,NSE:EQUITY_L,2026-02-18
NSE,ANIKINDS,ANIKINDS.NS,Anik Industries Limited,INE087B01017,INR,NSE:EQUITY_L,2026-02-18
NSE,ANKITMETAL,ANKITMETAL.NS,Ankit Metal & Power Limited,INE106I01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ANMOL,ANMOL.NS,Anmol India Limited,INE02AR01019,INR,NSE:EQUITY_L,2026-02-18
NSE,ANSALAPI,ANSALAPI.NS,Ansal Properties & Infrastructure Limited,INE436A01026,INR,NSE:EQUITY_L,2026-02-18
NSE,ANTELOPUS,ANTELOPUS.NS,Antelopus Selan Energy Limited,INE818A01017,INR,NSE:EQUITY_L,2026-02-18
NSE,ANTGRAPHIC,ANTGRAPHIC.NS,Antarctica Limited,INE414B01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ANTHEM,ANTHEM.NS,Anthem Biosciences Limited,INE0CZ201020,INR,NSE:EQUITY_L,2026-02-18
NSE,ANUHPHR,ANUHPHR.NS,Anuh Pharma Limited,INE489G01022,INR,NSE:EQUITY_L,2026-02-18
NSE,ANUP,ANUP.NS,The Anup Engineering Limited,INE294Z01018,INR,NSE:EQUITY_L,2026-02-18
NSE,ANURAS,ANURAS.NS,Anupam Rasayan India Limited,INE930P01018,INR,NSE:EQUITY_L,2026-02-18
NSE,APARINDS,APARINDS.NS,Apar Industries Limited,INE372A01015,INR,NSE:EQUITY_L,2026-02-18
NSE,APCL,APCL.NS,Anjani Portland Cement Limited,INE071F01012,INR,NSE:EQUITY_L,2026-02-18
NSE,APCOTEXIND,APCOTEXIND.NS,Apcotex Industries Limited,INE116A01032,INR,NSE:EQUITY_L,2026-02-18
NSE,APEX,APEX.NS,Apex Frozen Foods Limited,INE346W01013,INR,NSE:EQUITY_L,2026-02-18
NSE,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited,INE702C01027,INR,NSE:EQUITY_L,2026-02-18
NSE,APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,INE901L01018,INR,NSE:EQUITY_L,2026-02-18
NSE,APOLLO,APOLLO.NS,Apollo Micro Systems Limited,INE713T01028,INR,NSE:EQUITY_L,2026-02-18
NSE,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,INE437A01024,INR,NSE:EQUITY_L,2026-02-18
NSE,APOLLOPIPE,APOLLOPIPE.NS,Apollo Pipes Limited,INE126J01016,INR,NSE:EQUITY_L,2026-02-18
NSE,APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited,INE438A01022,INR,NSE:EQUITY_L,2026-02-18
NSE,APOLSINHOT,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,INE451F01024,INR,NSE:EQUITY_L,2026-02-18
NSE,APTECHT,APTECHT.NS,Aptech Limited,INE266F01018,INR,NSE:EQUITY_L,2026-02-18
NSE,APTUS,APTUS.NS,Aptus Value Housing Finance India Limited,INE852O01025,INR,NSE:EQUITY_L,2026-02-18
NSE,AQYLON,AQYLON.NS,Aqylon Nexus Limited,INE416A01044,INR,NSE:EQUITY_L,2026-02-18
NSE,ARCHIDPLY,ARCHIDPLY.NS,Archidply Industries Limited,INE877I01016,INR,NSE:EQUITY_L,2026-02-18
NSE,ARCHIES,ARCHIES.NS,Archies Limited,INE731A01020,INR,NSE:EQUITY_L,2026-02-18
NSE,ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Limited,INE885A01032,INR,NSE:EQUITY_L,2026-02-18
NSE,ARENTERP,ARENTERP.NS,Rajdarshan Industries Limited,INE610C01014,INR,NSE:EQUITY_L,2026-02-18
